Date,AAPL,backtest,backtest_2
2019-09-19,55.24000168,0,0
2019-09-20,54.43249893,0,0
2019-09-23,54.68000031,1,1
2019-09-24,54.41999817,0,0
2019-09-25,55.25749969,1,1
2019-09-26,54.97249985,0,0
2019-09-27,54.70500183,0,0
2019-09-30,55.99250031,1,1
2019-10-01,56.14749908,1,0
2019-10-02,54.74000168,0,0
2019-10-03,55.20500183,1,1
2019-10-04,56.75249863,1,0
2019-10-07,56.76499939,1,0
2019-10-08,56.09999847,0,0
2019-10-09,56.75749969,1,1
2019-10-10,57.52249908,1,0
2019-10-11,59.05250168,1,0
2019-10-14,58.96749878,0,0
2019-10-15,58.83000183,0,0
2019-10-16,58.59249878,0,0
2019-10-17,58.81999969,1,1
2019-10-18,59.10250092,1,0
2019-10-21,60.12749863,1,0
2019-10-22,59.99000168,0,0
2019-10-23,60.79499817,1,1
2019-10-24,60.89500046,1,0
2019-10-25,61.64500046,1,0
2019-10-28,62.26250076,1,0
2019-10-29,60.82249832,0,0
2019-10-30,60.81499863,0,0
2019-10-31,62.18999863,1,1
2019-11-01,63.95500183,1,0
2019-11-04,64.375,1,0
2019-11-05,64.28250122,0,0
2019-11-06,64.30999756,1,1
2019-11-07,64.85749817,1,0
2019-11-08,65.03500366,1,0
2019-11-11,65.55000305,1,0
2019-11-12,65.48999786,0,0
2019-11-13,66.11750031,1,1
2019-11-14,65.66000366,0,0
2019-11-15,66.44000244,1,1
2019-11-18,66.77500153,1,0
2019-11-19,66.57250214,0,0
2019-11-20,65.79750061,0,0
2019-11-21,65.50250244,0,0
2019-11-22,65.44499969,0,0
2019-11-25,66.59249878,1,1
2019-11-26,66.07250214,0,0
2019-11-27,66.95999908,1,1
2019-11-29,66.8125,0,0
2019-12-02,66.04000092,0,0
2019-12-03,64.86250305,0,0
2019-12-04,65.43499756,1,1
2019-12-05,66.39499664,1,0
2019-12-06,67.67749786,1,0
2019-12-09,66.73000336,0,0
2019-12-10,67.12000275,1,1
2019-12-11,67.69249725,1,0
2019-12-12,67.86499786,1,0
2019-12-13,68.78749847,1,0
2019-12-16,69.96499634,1,0
2019-12-17,70.10250092,1,0
2019-12-18,69.93499756,0,0
2019-12-19,70.00499725,1,1
2019-12-20,69.86000061,0,0
2019-12-23,71,1,1
2019-12-24,71.06749725,1,0
2019-12-26,72.47750092,1,0
2019-12-27,72.44999695,0,0
2019-12-30,72.87999725,1,1
2019-12-31,73.41249847,1,0
2020-01-02,75.08750153,1,0
