timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA 20,SMA 10,EMA 20,EMA 10,Real Lower Band 20,Real Upper Band 20,Real Middle Band 20,MACD 20,MACD_Signal 20,MACD_Hist 20,RSI 20
2019-09-12,224.8,226.42,222.86,223.09,54.9552153399,32226669,0.0,1.0,51.8489,52.6355,52.1375,53.0362,48.9949,54.7029,51.8489,0.9959,0.629,0.3669,64.0649
2019-09-13,220.0,220.79,217.02,218.75,53.8861148219,39763296,0.0,1.0,52.0584,52.8754,52.3041,53.1907,49.2526,54.8642,52.0584,1.0092,0.705,0.3041,59.2775
2019-09-16,217.73,220.13,217.56,219.9,54.1694018255,21158141,0.0,1.0,52.2235,53.1503,52.4817,53.3687,49.3301,55.1168,52.2235,1.0306,0.7701,0.2605,60.109
2019-09-17,219.96,220.82,219.12,220.7,54.3664710454,18386468,0.0,1.0,52.3509,53.5198,52.6612,53.5501,49.3191,55.3828,52.3509,1.0514,0.8264,0.225,60.6966
2019-09-18,221.06,222.85,219.44,222.77,54.876387652,25643093,0.0,1.0,52.5038,53.8543,52.8722,53.7912,49.2917,55.7159,52.5038,1.0964,0.8804,0.216,62.2127
2019-09-19,222.01,223.76,220.37,220.96,54.4305185419,22187876,0.0,1.0,52.6063,54.0435,53.0206,53.9075,49.2874,55.9252,52.6063,1.0836,0.921,0.1625,60.0796
2019-09-20,221.38,222.56,217.47,217.73,53.6348515665,57977094,0.0,1.0,52.6712,54.1536,53.0791,53.8579,49.3253,56.0171,52.6712,0.9977,0.9364,0.0613,56.4442
2019-09-23,218.95,219.84,217.65,218.72,53.8787247261,19419648,0.0,1.0,52.8692,54.2657,53.1553,53.8617,49.7366,56.0019,52.8692,0.9385,0.9368,0.0017,57.2783
2019-09-24,221.03,222.49,217.19,217.68,53.6225347402,31434367,0.0,1.0,53.0071,54.2899,53.1998,53.8182,49.999,56.0151,53.0071,0.861,0.9216,-0.0606,56.0906
2019-09-25,218.55,221.5,217.14,221.03,54.4477620986,22481006,0.0,1.0,53.2148,54.2268,53.3186,53.9327,50.419,56.0107,53.2148,0.8563,0.9086,-0.0523,58.9749
2019-09-26,220.0,220.94,218.83,219.89,54.1669384603,19088312,0.0,1.0,53.3917,54.148,53.3994,53.9753,50.8351,55.9483,53.3917,0.8205,0.891,-0.0705,57.6191
2019-09-27,220.54,220.96,217.28,218.82,53.9033583786,25361285,0.0,1.0,53.5125,54.1497,53.4474,53.9622,51.1033,55.9218,53.5125,0.762,0.8652,-0.1032,56.3395
2019-09-30,220.9,224.58,220.79,223.97,55.1719914818,26318583,0.0,1.0,53.7001,54.25,53.6117,54.1822,51.3895,56.0107,53.7001,0.8087,0.8539,-0.0452,60.7553
2019-10-01,225.07,228.22,224.2,224.59,55.3247201273,36187163,0.0,1.0,53.9328,54.3458,53.7748,54.3899,51.9795,55.8861,53.9328,0.8483,0.8528,-0.0045,61.2519
2019-10-02,223.06,223.58,217.93,218.96,53.9378454921,35767257,0.0,1.0,54.0531,54.2519,53.7903,54.3077,52.4394,55.6668,54.0531,0.759,0.834,-0.075,54.6423
2019-10-03,218.43,220.96,215.13,220.82,54.3960314284,30352686,0.0,1.0,54.146,54.2485,53.848,54.3238,52.6851,55.6069,54.146,0.7169,0.8106,-0.0937,56.2829
2019-10-04,225.64,227.49,223.89,227.01,55.9208545175,34755553,0.0,1.0,54.3154,54.4771,54.0454,54.6141,52.856,55.7747,54.3154,0.7974,0.808,-0.0105,61.1991
2019-10-07,226.27,229.93,225.84,227.06,55.9331713438,30889269,0.0,1.0,54.4741,54.6825,54.2252,54.854,53.0363,55.9119,54.4741,0.8524,0.8168,0.0356,61.2361
2019-10-08,225.82,228.06,224.33,224.4,55.2779161876,29282700,0.0,1.0,54.569,54.8481,54.3255,54.931,53.1828,55.9552,54.569,0.8335,0.8202,0.0133,58.1267
2019-10-09,227.03,227.79,225.64,227.03,55.925781248,19029424,0.0,1.0,54.6113,54.9959,54.4779,55.1119,53.1178,56.1049,54.6113,0.8609,0.8283,0.0325,60.2285
2019-10-10,227.93,230.44,227.3,230.09,56.6795710142,28962984,0.0,1.0,54.6975,55.2471,54.6876,55.3969,52.9561,56.439,54.6975,0.9326,0.8492,0.0834,62.5319
2019-10-11,232.95,237.64,232.31,236.21,58.1871505466,41990210,0.0,1.0,54.9126,55.6755,55.0209,55.9042,52.6429,57.1823,54.9126,1.0985,0.899,0.1994,66.6038
2019-10-14,234.9,238.13,234.67,235.87,58.1033961282,24413484,0.0,1.0,55.1093,55.9686,55.3144,56.3041,52.4782,57.7404,55.1093,1.2092,0.9611,0.2481,66.1832
2019-10-15,236.39,237.65,234.88,235.32,57.9679110395,23040483,0.0,1.0,55.2894,56.233,55.5671,56.6066,52.4055,58.1733,55.2894,1.2714,1.0231,0.2483,65.4791
2019-10-16,233.37,235.24,233.2,234.37,57.7338913408,19286694,0.0,1.0,55.4322,56.6126,55.7735,56.8116,52.3669,58.4976,55.4322,1.287,1.0759,0.2111,64.2365
2019-10-17,235.09,236.15,233.52,235.28,57.9580575785,17272897,0.0,1.0,55.6086,56.9688,55.9816,57.02,52.3919,58.8253,55.6086,1.3024,1.1212,0.1812,64.9079
2019-10-18,234.59,237.58,234.29,236.41,58.2364178516,24248023,0.0,1.0,55.8387,57.2003,56.1963,57.2412,52.5619,59.1155,55.8387,1.3218,1.1613,0.1605,65.7485
2019-10-21,237.52,240.99,237.32,240.51,59.2463976037,21811567,0.0,1.0,56.1071,57.5316,56.4868,57.6058,52.6425,59.5717,56.1071,1.4025,1.2096,0.193,68.6194
2019-10-22,241.16,242.2,239.62,239.96,59.110912515,22684001,0.0,1.0,56.3815,57.9149,56.7367,57.8794,52.8784,59.8847,56.3815,1.439,1.2554,0.1835,67.8167
2019-10-23,242.1,243.24,241.22,243.18,59.9041161252,19932545,0.0,1.0,56.6543,58.3128,57.0384,58.2476,52.9519,60.3568,56.6543,1.5144,1.3072,0.2072,69.9807
2019-10-24,244.51,244.8,241.81,243.58,60.0026507351,17916255,0.0,1.0,56.9461,58.6451,57.3207,58.5667,53.155,60.7372,56.9461,1.5641,1.3586,0.2055,70.2423
2019-10-25,243.16,246.73,242.88,246.58,60.7416603098,18369296,0.0,1.0,57.288,58.9005,57.6465,58.9621,53.4235,61.1525,57.288,1.6442,1.4157,0.2285,72.158
2019-10-28,247.42,249.25,246.72,249.05,61.3501115263,23655368,0.0,1.0,57.5969,59.2252,57.9992,59.3963,53.479,61.7149,57.5969,1.7367,1.4799,0.2568,73.6293
2019-10-29,248.97,249.75,242.57,243.29,59.9312131429,35709867,0.0,1.0,57.8273,59.4215,58.1832,59.4936,53.7282,61.9263,57.8273,1.6763,1.5192,0.1571,65.1748
2019-10-30,244.76,245.3,241.21,243.26,59.9238230472,31130522,0.0,1.0,58.1266,59.6405,58.349,59.5718,54.3453,61.9078,58.1266,1.6092,1.5372,0.072,65.1338
